If you actually set out to rewrite 100 modules, you’ll learn far more than 99% of people who ever touch the kernel.

Module                  Size  Used by
ttm                   118784  2 amdgpu,drm_ttm_helper
gpu_sched              61440  2 amdxdna,amdgpu
snd_pci_acp3x          16384  0
soundcore              16384  1 snd
i2c_smbus              20480  1 i2c_piix4
k10temp                16384  0
ccp                   155648  2 kvm_amd,amdtee
amd_sfh                61440  1 amd_pmf
tee                    45056  2 amd_pmf,amdtee
platform_profile       20480  2 amd_pmf,asus_wmi
joydev                 32768  0
input_leds             12288  0
amd_pmc                49152  0
serio_raw              20480  0
mac_hid                12288  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
typec_displayport      20480  0
nvme                   61440  2
nvme_core             225280  3 nvme
r8169                 126976  0
video                  77824  5 nvidia_wmi_ec_backlight,asus_wmi,amdgpu,asus_nb_wmi,nvidia_modeset
hid_multitouch         36864  0
ucsi_acpi              12288  0
hid_generic            12288  0
thunderbolt           536576  0
typec_ucsi             65536  1 ucsi_acpi
realtek                49152  1
nvme_auth              28672  1 nvme_core
typec                 118784  2 typec_displayport,typec_ucsi
i2c_hid_acpi           12288  0
i2c_hid                40960  1 i2c_hid_acpi
wmi                    28672  5 video,nvidia_wmi_ec_backlight,asus_wmi,wmi_bmof,mfd_aaeon
hid                   262144  4 i2c_hid,hid_multitouch,hid_generic,amd_sfh

